Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.681E-05,-2.7756E-17,0.0049997,0,0,0,0.30602,0.00065587,-3.9319E-18,-5.7294E-08,0.036548,1.9314E-21,0.037199,0,0,0,0,0,0,package://NewWoodBoard/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://NewWoodBoard/meshes/base_link.STL,,木板-1,Frame1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Forward_Link,-2.2204E-16,0,0.0155,0,0,0,0.65823,0.00046383,-3.3261E-20,1.0669E-21,0.00046383,1.9013E-21,0.00082234,0,0,0,0,0,0,package://NewWoodBoard/meshes/Forward_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://NewWoodBoard/meshes/Forward_Link.STL,,前端扣件-1,Frame2,,Forward,fixed,0.47,0,-0.03,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Backward_Link,1.1102E-16,-2.7756E-17,0.015496,0,0,0,0.44352,0.00038415,-4.3352E-20,-1.1369E-22,0.00015462,2.8843E-21,0.00047707,0,0,0,0,0,0,package://NewWoodBoard/meshes/Backward_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://NewWoodBoard/meshes/Backward_Link.STL,,木板扣件-1,Frame3,,Backward,fixed,-0.47,0,-0.03,0,0,0,base_link,0,0,0,,,,,,,,,,,,
