Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.599730249133E-05,-3.13511483974998E-07,0.0025,0,0,0,1.75987882412007,0.0175909893539343,5.81100410503333E-08,-6.53347685425368E-23,0.0175787568852369,-2.8146577477927E-23,0.0351624134107373,0,0,0,0,0,0,package://TransportingMechanism/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://TransportingMechanism/meshes/base_link.STL,,载物台底盘-2,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-6.599730249133E-05,-3.13511483975019E-07,0.00250000000000006,0,0,0,1.75987882412007,0.0175909893539343,5.81100410503287E-08,1.6080971543942E-22,0.0175787568852369,4.06030668982455E-24,0.0351624134107374,0,0,0,0,0,0,package://TransportingMechanism/meshes/Link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://TransportingMechanism/meshes/Link1.STL,,载物台底盘-1,坐标系1,,Joint1,fixed,0,0,0.805,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link2,0,-5.96311194867027E-18,0.00448606775383986,0,0,0,0.119329705575241,0.000245617226061354,3.28377778486481E-20,-1.22949370487284E-22,0.000245617226061354,7.67238384932997E-22,0.000489630790176387,0,0,0,0,0,0,package://TransportingMechanism/meshes/Link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://TransportingMechanism/meshes/Link2.STL,,圆盘外环-1,坐标系2,,Joint2,fixed,0.10525,0.00049983,0.055,0,0,0,Link1,0,0,0,,,,,,,,,,,,
Link3,-2.77555756156289E-17,-1.30104260698261E-17,0.00413963416314911,0,0,0,0.148373208599314,1.56796689207446E-05,-8.76443500851748E-05,7.19058587204207E-22,0.000584989922626546,5.32822313470423E-23,0.000599182426206679,0,0,0,0,0,0,package://TransportingMechanism/meshes/Link3.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://TransportingMechanism/meshes/Link3.STL,,导轨-1,坐标系3,Axis_Slide,Slide,revolute,0,0,0.01,0,0,0,Link2,0,0,1,0,0,-3.1415926,3.1415926,,,,,,,,
Link4,-2.77555756156289E-17,-3.46944695195361E-18,0.00550676218546409,0,0,0,0.0457290667018718,4.43011229784629E-06,-9.17380197366025E-08,-1.29980552786867E-21,5.02601374773961E-06,4.20332232465609E-23,8.61981410265708E-06,0,0,0,0,0,0,package://TransportingMechanism/meshes/Link4.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://TransportingMechanism/meshes/Link4.STL,,滑块-1,坐标系4,Axis_Slider,Slider,prismatic,0.086339,0.012991,0,0,0,0,Link3,0.98887,0.14879,0,0,0,-0.08,0.08,,,,,,,,
