Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base_Link,-1.5124E-05,5.6925E-17,0.018896,0,0,0,7.6794,0.074281,2.5898E-19,-2.5858E-20,0.074269,5.7099E-21,0.13323,0,0,0,0,0,0,package://FollowerTransportMech/meshes/Base_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://FollowerTransportMech/meshes/Base_Link.STL,,载物台底盘-2;连接棒-4;连接棒-1;连接棒-3;连接棒-2;配重245-1,Frame0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.031049,1.5053E-18,0.0057292,0,0,0,2.3714,0.017705,2.7029E-19,1.1405E-21,0.017693,-4.3582E-23,0.035349,0,0,0,0,0,0,package://FollowerTransportMech/meshes/Link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://FollowerTransportMech/meshes/Link1.STL,,载物台底盘-1;配重03-1;配重03-2,Frame1,,Joint1,fixed,0,0,0.3,0,0,0,Base_Link,0,0,0,,,,,,,,,,,,
Link2,2.6747E-06,3.9417E-07,0.002683,0,0,0,0.13629,0.00024629,3.2485E-20,5.8377E-22,0.00024629,7.7047E-22,0.00048984,0,0,0,0,0,0,package://FollowerTransportMech/meshes/Link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://FollowerTransportMech/meshes/Link2.STL,,圆盘外环-1;圆盘支角-3;圆盘支角-5;圆盘支角-1;圆盘支角-2,Frame2,,Joint2,fixed,0.10525,0,0.025,0,0,0,Link1,0,0,0,,,,,,,,,,,,
Link3,0.020099,3.7557E-15,-0.0047053,0,0,0,0.51766,0.00017227,-3.1973E-17,-2.0124E-18,0.0018071,-4.2362E-21,0.0019734,0,0,0,0,0,0,package://FollowerTransportMech/meshes/Link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://FollowerTransportMech/meshes/Link3.STL,,圆盘内环-1;导轨-1,Frame3,Axis_Disc,DiscToSlide,revolute,0,0,0.017,0,0,0,Link2,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
Link4Slider,1.6653E-16,1.2924E-15,0.0057417,0,0,0,0.28597,0.00027211,3.0917E-20,-3.9445E-20,0.00016554,-5.4517E-20,0.00039835,0,0,0,0,0,0,package://FollowerTransportMech/meshes/Link4Slider.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://FollowerTransportMech/meshes/Link4Slider.STL,,活动夹块-1;滑块-1,Frame4,Axis_Slide,SlideToSlider,prismatic,0,0,0.003,0,0,0,Link3,0,0,1,0,0,-0.08,0.08,,,,,,,,
